date,price,tweets
2021-02-01,33537.175781,
2021-02-02,35510.289063,
2021-02-03,37472.089844,
2021-02-04,36926.066406,
2021-02-05,38144.308594,1694.0
2021-02-06,39266.011719,3278.0
2021-02-07,38903.441406,3030.0
2021-02-08,46196.464844,5647.0
2021-02-09,46481.105469,4350.0
2021-02-10,44918.183594,3526.0
2021-02-11,47909.332031,
2021-02-12,47504.851563,
2021-02-13,47105.515625,2285.0
2021-02-14,48717.289063,4009.0
2021-02-15,47945.058594,4651.0
2021-02-16,49199.871094,
2021-02-17,52149.007813,
2021-02-18,51679.796875,2254.0
2021-02-19,55888.132813,4521.0
2021-02-20,56099.519531,
2021-02-21,57539.945313,
2021-02-22,54207.320313,3564.0
2021-02-23,48824.425781,
2021-02-24,49705.332031,
2021-02-25,47093.851563,
2021-02-26,46339.761719,
2021-02-27,46188.453125,
2021-02-28,45137.769531,1634.0
2021-03-01,49631.242188,
2021-03-02,48378.988281,
2021-03-03,50538.242188,
2021-03-04,48561.167969,
2021-03-05,48927.304688,
2021-03-06,48912.382813,
2021-03-07,51206.691406,
2021-03-08,52246.523438,
2021-03-09,54824.117188,
2021-03-10,56008.550781,
2021-03-11,57805.121094,217.0
2021-03-12,57332.089844,3923.0
2021-03-13,61243.085938,
2021-03-14,59302.316406,
2021-03-15,55907.199219,
2021-03-16,56804.902344,
2021-03-17,58870.894531,
2021-03-18,57858.921875,
2021-03-19,58346.652344,
2021-03-20,58313.644531,
2021-03-21,57523.421875,
2021-03-22,54529.144531,
2021-03-23,54738.945313,
2021-03-24,52774.265625,
2021-03-25,51704.160156,
2021-03-26,55137.3125,
2021-03-27,55973.511719,
2021-03-28,55950.746094,
2021-03-29,57750.199219,
2021-03-30,58917.691406,
2021-03-31,58918.832031,
2021-04-01,59095.808594,
2021-04-02,59384.3125,
2021-04-03,57603.890625,
2021-04-04,58758.554688,
2021-04-05,59057.878906,2197.0
2021-04-06,58192.359375,3730.0
2021-04-07,56048.9375,4039.0
2021-04-08,58323.953125,3740.0
2021-04-09,58245.003906,3475.0
2021-04-10,59793.234375,4011.0
2021-04-11,60204.964844,2039.0
2021-04-12,59893.453125,1926.0
2021-04-13,63503.457031,
2021-04-14,63109.695313,
2021-04-15,63314.011719,
2021-04-16,61572.789063,
2021-04-17,60683.820313,333.0
2021-04-18,56216.183594,4708.0
2021-04-19,55724.265625,4119.0
2021-04-20,56473.03125,4388.0
2021-04-21,53906.089844,4436.0
2021-04-22,51762.273438,5102.0
2021-04-23,51093.652344,5865.0
2021-04-24,50050.867188,3952.0
2021-04-25,49004.253906,
2021-04-26,54021.753906,
2021-04-27,55033.117188,
2021-04-28,54824.703125,
2021-04-29,53555.109375,
2021-04-30,57750.175781,
2021-05-01,57828.050781,
2021-05-02,56631.078125,
2021-05-03,57200.292969,
2021-05-04,53333.539063,
2021-05-05,57424.007813,
2021-05-06,56396.515625,
2021-05-07,57356.402344,
2021-05-08,58803.777344,
2021-05-09,58232.316406,
2021-05-10,55859.796875,
2021-05-11,56704.574219,
2021-05-12,49150.535156,
2021-05-13,49716.191406,
2021-05-14,49880.535156,
2021-05-15,46760.1875,
2021-05-16,46456.058594,
2021-05-17,43537.511719,
2021-05-18,42909.402344,
2021-05-19,37002.441406,
2021-05-20,40782.738281,
2021-05-21,37304.691406,
2021-05-22,37536.632813,
2021-05-23,34770.582031,
2021-05-24,38705.980469,
2021-05-25,38402.222656,2803.0
2021-05-26,39294.199219,4898.0
2021-05-27,38436.96875,4383.0
2021-05-28,35697.605469,5189.0
2021-05-29,34616.066406,4509.0
2021-05-30,35678.128906,
2021-05-31,37332.855469,
2021-06-01,36684.925781,
2021-06-02,37575.179688,
2021-06-03,39208.765625,
2021-06-04,36894.40625,
2021-06-05,35551.957031,
2021-06-06,35862.378906,
2021-06-07,33560.707031,
2021-06-08,33472.632813,
2021-06-09,37345.121094,
2021-06-10,36702.597656,
2021-06-11,37334.398438,
2021-06-12,35552.515625,
2021-06-13,39097.859375,
2021-06-14,40218.476563,
2021-06-15,40406.269531,
2021-06-16,38347.0625,
2021-06-17,38053.503906,
2021-06-18,35787.246094,
2021-06-19,35615.871094,
2021-06-20,35698.296875,8868.0
2021-06-21,31676.693359,41729.0
2021-06-22,32505.660156,45840.0
2021-06-23,33723.027344,29358.0
2021-06-24,34662.4375,
2021-06-25,31637.779297,
2021-06-26,32186.277344,
2021-06-27,34649.644531,
2021-06-28,34434.335938,
2021-06-29,35867.777344,
2021-06-30,35040.835938,
2021-07-01,33572.117188,
2021-07-02,33897.046875,17789.0
2021-07-03,34668.546875,25430.0
2021-07-04,35287.78125,23087.0
2021-07-05,33746.003906,25981.0
2021-07-06,34235.195313,
2021-07-07,33855.328125,
2021-07-08,32877.371094,
2021-07-09,33798.011719,
2021-07-10,33520.519531,
2021-07-11,34240.1875,
