date,count
2022-01-22,71805
2021-10-19,63590
2021-11-26,57572
2022-06-15,56617
2022-04-19,54980
2021-10-22,54775
2021-11-19,54023
2022-03-24,53559
2021-08-09,53501
2022-04-18,53321
2021-08-25,47043
2022-05-01,46197
2021-06-22,45840
2021-11-06,45799
2022-04-16,44520
2022-05-12,44470
2021-07-23,43535
2022-03-16,43493
2022-01-13,42993
2021-10-21,42406
2022-01-12,42230
2022-05-13,42141
2021-06-21,41729
2022-04-15,40564
2022-04-22,40506
2021-11-12,39858
2021-10-23,39413
2021-08-20,39291
2021-08-26,39166
2021-07-21,38911
2022-06-29,38747
2021-07-30,38392
2021-08-18,38227
2021-11-25,37651
2021-10-28,37411
2022-04-30,37259
2022-05-02,37226
2021-11-18,36976
2022-07-14,36681
2022-11-16,36098
2021-10-29,35805
2022-01-21,35669
2021-11-05,35590
2021-08-17,35318
2022-09-14,34960
2021-08-19,34272
2021-08-08,33834
2021-10-20,33394
2022-07-15,33236
2022-03-10,33082
2022-07-13,32969
2021-08-16,32460
2021-07-24,32131
2022-06-26,31794
2022-11-15,31552
2022-03-15,31437
2022-06-18,31260
2021-07-20,30933
2021-07-22,30833
2022-09-13,30215
2021-08-15,30091
2022-04-21,30049
2022-01-14,30041
2022-07-16,29962
2022-06-03,29958
2023-01-09,29493
2021-06-23,29358
2021-07-19,28931
2022-09-01,28829
2022-09-02,28735
2022-09-12,28543
2022-03-21,28381
2022-10-12,28160
2022-06-23,27839
2022-08-31,27815
2022-04-14,27659
2021-07-26,27491
2021-08-24,26905
2022-10-11,26576
2021-07-18,26239
2021-07-05,25981
2022-10-10,25948
2021-11-04,25929
2022-03-23,25878
2021-07-03,25430
2022-02-09,25303
2022-04-28,25220
2022-11-09,25189
2021-12-30,25088
2022-10-15,24929
2022-06-25,24845
2022-03-07,23999
2022-11-21,23936
2022-06-01,23516
2021-09-10,23510
2022-03-17,23194
2021-07-04,23087
2021-10-18,23083
2022-04-29,22812
2023-01-07,22721
2022-01-20,22063
2021-10-27,21919
2022-05-26,21346
2022-03-18,20862
2021-12-17,20439
2022-05-22,20175
2021-11-11,19849
2022-12-27,19588
2022-05-31,19451
2022-05-24,19207
2021-07-29,19034
2022-05-30,18707
2022-05-11,18698
2022-04-13,18394
2022-11-11,18377
2022-07-12,18299
2022-03-20,18279
2022-10-13,18275
2022-02-17,18242
2022-02-18,18210
2021-07-02,17789
2022-06-17,17583
2022-05-29,17052
2022-06-14,17001
2022-12-25,16861
2022-03-19,16520
2021-08-06,15995
2022-03-09,15848
2022-11-07,15560
2021-07-28,15491
2021-07-17,15204
2022-09-03,14350
2022-06-19,14271
2022-08-30,14110
2022-05-25,14052
2022-07-03,14014
2021-07-27,13948
2022-05-10,13847
2022-07-17,13770
2021-08-14,13677
2022-05-27,13611
2022-11-14,13453
2022-11-10,13219
2021-08-07,13186
2022-10-14,13099
2021-08-05,12817
2022-11-08,12597
2022-01-11,11613
2021-07-25,11609
2022-06-02,11085
2021-08-21,10928
2022-04-20,10875
2021-08-23,10503
2022-09-11,10132
2022-10-09,9766
2022-06-28,9444
2022-04-17,8930
2021-06-20,8868
2022-02-15,8830
2022-03-02,8374
2022-03-06,8007
2022-07-02,7827
2022-07-11,6896
2022-06-04,6787
2022-11-13,6468
2021-11-24,6383
2022-09-04,6282
2022-12-24,6199
2021-12-11,6004
2021-04-23,5865
2022-11-20,5813
2021-02-08,5647
2022-03-08,5495
2022-06-24,5465
2022-02-14,5348
2021-05-28,5189
2021-04-22,5102
2022-05-28,4933
2022-05-23,4905
2021-05-26,4898
2021-04-18,4708
2021-02-15,4651
2021-02-19,4521
2021-05-29,4509
2021-04-21,4436
2023-01-06,4407
2021-04-20,4388
2021-05-27,4383
2021-02-09,4350
2023-01-08,4266
2021-04-19,4119
2021-04-07,4039
2021-04-10,4011
2021-02-14,4009
2021-04-24,3952
2021-03-12,3923
2021-12-29,3770
2021-04-08,3740
2021-04-06,3730
2022-01-19,3673
2022-03-14,3567
2021-02-22,3564
2022-02-16,3542
2021-02-10,3526
2021-04-09,3475
2021-02-06,3278
2021-02-07,3030
2021-05-25,2803
2021-02-13,2285
2021-02-18,2254
2021-04-05,2197
2022-04-27,2066
2021-04-11,2039
2021-04-12,1926
2021-08-04,1773
2021-02-05,1694
2021-02-28,1634
2021-07-16,1110
2022-12-26,585
2021-04-17,333
2021-03-11,217
2022-03-22,83
